timestamp,latency_ms,packet_loss
2026-02-24 21:57:04,46,0
2026-02-24 21:57:05,34,2
2026-02-24 21:57:06,53,2
2026-02-24 21:57:07,49,3
2026-02-24 21:57:08,30,0
2026-02-24 21:57:09,56,0
2026-02-24 21:57:10,40,0
2026-02-24 21:57:11,36,1
2026-02-24 21:57:12,62,1
2026-02-24 21:57:13,44,0
2026-02-24 21:57:14,51,1
2026-02-24 21:57:15,37,0
2026-02-24 21:57:16,56,2
2026-02-24 21:57:17,42,0
2026-02-24 21:57:18,32,1
2026-02-24 21:57:19,40,0
2026-02-24 21:57:20,43,0
2026-02-24 21:57:21,52,0
2026-02-24 21:57:22,30,0
2026-02-24 21:57:23,41,1
2026-02-24 21:57:24,52,3
2026-02-24 21:57:25,37,0
2026-02-24 21:57:26,52,0
2026-02-24 21:57:27,57,1
2026-02-24 21:57:28,41,1
2026-02-24 21:57:29,52,1
2026-02-24 21:57:30,55,0
2026-02-24 21:57:31,59,2
2026-02-24 21:57:32,49,1
2026-02-24 21:57:33,31,0
2026-02-24 21:57:34,57,0
2026-02-24 21:57:35,60,0
2026-02-24 21:57:36,45,0
2026-02-24 21:57:37,63,0
2026-02-24 21:57:38,46,0
2026-02-24 21:57:39,58,0
2026-02-24 21:57:40,57,0
2026-02-24 21:57:41,53,1
2026-02-24 21:57:42,50,0
2026-02-24 21:57:43,50,0
2026-02-24 21:57:44,51,0
2026-02-24 21:57:45,48,0
2026-02-24 21:57:46,40,1
2026-02-24 21:57:47,44,1
2026-02-24 21:57:48,58,1
2026-02-24 21:57:49,60,0
2026-02-24 21:57:50,57,0
2026-02-24 21:57:51,63,0
2026-02-24 21:57:52,52,0
2026-02-24 21:57:53,55,1
2026-02-24 21:57:54,54,1
2026-02-24 21:57:55,68,0
2026-02-24 21:57:56,60,0
2026-02-24 21:57:57,42,0
2026-02-24 21:57:58,59,0
2026-02-24 21:57:59,59,2
2026-02-24 21:58:00,63,2
2026-02-24 21:58:01,39,0
2026-02-24 21:58:02,59,2
2026-02-24 21:58:03,38,1
2026-02-24 21:58:04,39,0
2026-02-24 21:58:05,38,0
2026-02-24 21:58:06,57,0
2026-02-24 21:58:07,64,2
2026-02-24 21:58:08,46,1
2026-02-24 21:58:09,37,1
2026-02-24 21:58:10,51,1
2026-02-24 21:58:11,42,1
2026-02-24 21:58:12,38,0
2026-02-24 21:58:13,55,0
2026-02-24 21:58:14,30,2
2026-02-24 21:58:15,66,0
2026-02-24 21:58:16,51,1
2026-02-24 21:58:17,44,0
2026-02-24 21:58:18,41,1
2026-02-24 21:58:19,46,0
2026-02-24 21:58:20,49,1
2026-02-24 21:58:21,41,1
2026-02-24 21:58:22,58,0
2026-02-24 21:58:23,65,2
2026-02-24 21:58:24,36,2
2026-02-24 21:58:25,54,0
2026-02-24 21:58:26,63,1
2026-02-24 21:58:27,54,0
2026-02-24 21:58:28,49,0
2026-02-24 21:58:29,41,1
2026-02-24 21:58:30,55,0
2026-02-24 21:58:31,44,0
2026-02-24 21:58:32,69,1
2026-02-24 21:58:33,47,0
2026-02-24 21:58:34,50,2
2026-02-24 21:58:35,75,0
2026-02-24 21:58:36,60,0
2026-02-24 21:58:37,56,1
2026-02-24 21:58:38,50,1
2026-02-24 21:58:39,51,0
2026-02-24 21:58:40,49,0
2026-02-24 21:58:41,51,0
2026-02-24 21:58:42,48,0
2026-02-24 21:58:43,39,0
2026-02-24 21:58:44,41,1
2026-02-24 21:58:45,34,0
2026-02-24 21:58:46,32,1
2026-02-24 21:58:47,55,2
2026-02-24 21:58:48,64,0
2026-02-24 21:58:49,53,1
2026-02-24 21:58:50,49,0
2026-02-24 21:58:51,39,0
2026-02-24 21:58:52,34,0
2026-02-24 21:58:53,43,0
2026-02-24 21:58:54,51,1
2026-02-24 21:58:55,43,0
2026-02-24 21:58:56,52,0
2026-02-24 21:58:57,46,0
2026-02-24 21:58:58,62,0
2026-02-24 21:58:59,35,0
2026-02-24 21:59:00,40,0
2026-02-24 21:59:01,49,1
2026-02-24 21:59:02,49,0
2026-02-24 21:59:03,36,0
2026-02-24 21:59:04,49,0
2026-02-24 21:59:05,42,3
2026-02-24 21:59:06,45,0
2026-02-24 21:59:07,50,1
2026-02-24 21:59:08,55,0
2026-02-24 21:59:09,53,0
2026-02-24 21:59:10,41,0
2026-02-24 21:59:11,71,1
2026-02-24 21:59:12,40,2
2026-02-24 21:59:13,36,0
2026-02-24 21:59:14,46,1
2026-02-24 21:59:15,49,0
2026-02-24 21:59:16,43,1
2026-02-24 21:59:17,41,1
2026-02-24 21:59:18,78,0
2026-02-24 21:59:19,34,0
2026-02-24 21:59:20,41,2
2026-02-24 21:59:21,34,0
2026-02-24 21:59:22,59,1
2026-02-24 21:59:23,52,2
2026-02-24 21:59:24,38,0
2026-02-24 21:59:25,54,1
2026-02-24 21:59:26,57,1
2026-02-24 21:59:27,49,0
2026-02-24 21:59:28,48,0
2026-02-24 21:59:29,47,1
2026-02-24 21:59:30,32,0
2026-02-24 21:59:31,52,0
2026-02-24 21:59:32,39,0
2026-02-24 21:59:33,56,0
2026-02-24 21:59:34,52,0
2026-02-24 21:59:35,57,1
2026-02-24 21:59:36,55,0
2026-02-24 21:59:37,68,0
2026-02-24 21:59:38,66,0
2026-02-24 21:59:39,41,0
2026-02-24 21:59:40,58,0
2026-02-24 21:59:41,38,1
2026-02-24 21:59:42,52,0
2026-02-24 21:59:43,60,1
2026-02-24 21:59:44,73,1
2026-02-24 21:59:45,48,1
2026-02-24 21:59:46,45,2
2026-02-24 21:59:47,37,1
2026-02-24 21:59:48,55,0
2026-02-24 21:59:49,51,0
2026-02-24 21:59:50,44,0
2026-02-24 21:59:51,67,0
2026-02-24 21:59:52,42,3
2026-02-24 21:59:53,44,0
2026-02-24 21:59:54,51,0
2026-02-24 21:59:55,45,0
2026-02-24 21:59:56,43,3
2026-02-24 21:59:57,59,2
2026-02-24 21:59:58,33,0
2026-02-24 21:59:59,30,1
2026-02-24 22:00:00,67,0
2026-02-24 22:00:01,54,2
2026-02-24 22:00:02,42,2
2026-02-24 22:00:03,37,0
2026-02-24 22:00:04,59,3
2026-02-24 22:00:05,69,0
2026-02-24 22:00:06,30,2
2026-02-24 22:00:07,44,0
2026-02-24 22:00:08,41,0
2026-02-24 22:00:09,49,1
2026-02-24 22:00:10,48,0
2026-02-24 22:00:11,51,0
2026-02-24 22:00:12,42,0
2026-02-24 22:00:13,44,0
2026-02-24 22:00:14,58,2
2026-02-24 22:00:15,64,0
2026-02-24 22:00:16,58,0
2026-02-24 22:00:17,41,0
2026-02-24 22:00:18,36,2
2026-02-24 22:00:19,49,0
2026-02-24 22:00:20,61,0
2026-02-24 22:00:21,55,1
2026-02-24 22:00:22,41,1
2026-02-24 22:00:23,48,2
2026-02-24 22:00:24,54,0
2026-02-24 22:00:25,65,1
2026-02-24 22:00:26,64,0
2026-02-24 22:00:27,45,1
2026-02-24 22:00:28,50,0
2026-02-24 22:00:29,62,1
2026-02-24 22:00:30,51,3
2026-02-24 22:00:31,70,0
2026-02-24 22:00:32,50,0
2026-02-24 22:00:33,67,3
2026-02-24 22:00:34,55,1
2026-02-24 22:00:35,62,0
2026-02-24 22:00:36,36,3
2026-02-24 22:00:37,47,0
2026-02-24 22:00:38,43,1
2026-02-24 22:00:39,46,1
2026-02-24 22:00:40,55,0
2026-02-24 22:00:41,49,0
2026-02-24 22:00:42,65,0
2026-02-24 22:00:43,57,1
2026-02-24 22:00:44,46,0
2026-02-24 22:00:45,57,0
2026-02-24 22:00:46,48,2
2026-02-24 22:00:47,50,0
2026-02-24 22:00:48,40,0
2026-02-24 22:00:49,38,1
2026-02-24 22:00:50,65,0
2026-02-24 22:00:51,48,0
2026-02-24 22:00:52,46,1
2026-02-24 22:00:53,46,0
2026-02-24 22:00:54,60,2
2026-02-24 22:00:55,55,1
2026-02-24 22:00:56,34,2
2026-02-24 22:00:57,46,0
2026-02-24 22:00:58,50,0
2026-02-24 22:00:59,51,0
2026-02-24 22:01:00,42,0
2026-02-24 22:01:01,56,0
2026-02-24 22:01:02,58,0
2026-02-24 22:01:03,50,0
2026-02-24 22:01:04,45,0
2026-02-24 22:01:05,54,1
2026-02-24 22:01:06,61,0
2026-02-24 22:01:07,51,3
2026-02-24 22:01:08,58,1
2026-02-24 22:01:09,55,0
2026-02-24 22:01:10,36,1
2026-02-24 22:01:11,36,0
2026-02-24 22:01:12,52,1
2026-02-24 22:01:13,36,3
2026-02-24 22:01:14,56,1
2026-02-24 22:01:15,61,0
2026-02-24 22:01:16,54,1
2026-02-24 22:01:17,57,0
2026-02-24 22:01:18,34,2
2026-02-24 22:01:19,45,0
2026-02-24 22:01:20,69,1
2026-02-24 22:01:21,42,0
2026-02-24 22:01:22,45,3
2026-02-24 22:01:23,49,0
2026-02-24 22:01:24,47,0
2026-02-24 22:01:25,35,3
2026-02-24 22:01:26,52,0
2026-02-24 22:01:27,59,0
2026-02-24 22:01:28,53,0
2026-02-24 22:01:29,66,0
2026-02-24 22:01:30,52,1
2026-02-24 22:01:31,61,0
2026-02-24 22:01:32,57,0
2026-02-24 22:01:33,56,1
2026-02-24 22:01:34,51,0
2026-02-24 22:01:35,48,0
2026-02-24 22:01:36,37,0
2026-02-24 22:01:37,55,0
2026-02-24 22:01:38,41,0
2026-02-24 22:01:39,47,0
2026-02-24 22:01:40,32,1
2026-02-24 22:01:41,44,0
2026-02-24 22:01:42,51,3
2026-02-24 22:01:43,38,3
2026-02-24 22:01:44,39,0
2026-02-24 22:01:45,60,2
2026-02-24 22:01:46,50,0
2026-02-24 22:01:47,60,0
2026-02-24 22:01:48,47,1
2026-02-24 22:01:49,50,0
2026-02-24 22:01:50,54,0
2026-02-24 22:01:51,61,0
2026-02-24 22:01:52,33,3
2026-02-24 22:01:53,42,0
2026-02-24 22:01:54,34,3
2026-02-24 22:01:55,51,0
2026-02-24 22:01:56,46,0
2026-02-24 22:01:57,46,0
2026-02-24 22:01:58,41,0
2026-02-24 22:01:59,49,0
2026-02-24 22:02:00,30,0
2026-02-24 22:02:01,37,1
2026-02-24 22:02:02,31,0
2026-02-24 22:02:03,55,2
2026-02-24 22:02:04,48,0
2026-02-24 22:02:05,49,0
2026-02-24 22:02:06,43,2
2026-02-24 22:02:07,55,0
2026-02-24 22:02:08,63,1
2026-02-24 22:02:09,47,1
2026-02-24 22:02:10,41,0
2026-02-24 22:02:11,55,1
2026-02-24 22:02:12,49,1
2026-02-24 22:02:13,44,0
2026-02-24 22:02:14,45,0
2026-02-24 22:02:15,50,0
2026-02-24 22:02:16,43,0
2026-02-24 22:02:17,64,0
2026-02-24 22:02:18,64,0
2026-02-24 22:02:19,37,2
2026-02-24 22:02:20,37,3
2026-02-24 22:02:21,35,1
2026-02-24 22:02:22,36,3
2026-02-24 22:02:23,62,1
2026-02-24 22:02:24,60,1
2026-02-24 22:02:25,36,0
2026-02-24 22:02:26,48,0
2026-02-24 22:02:27,48,0
2026-02-24 22:02:28,51,0
2026-02-24 22:02:29,39,1
2026-02-24 22:02:30,53,0
2026-02-24 22:02:31,54,0
2026-02-24 22:02:32,61,0
2026-02-24 22:02:33,40,0
2026-02-24 22:02:34,39,0
2026-02-24 22:02:35,46,0
2026-02-24 22:02:36,65,0
2026-02-24 22:02:37,48,1
2026-02-24 22:02:38,58,0
2026-02-24 22:02:39,40,0
2026-02-24 22:02:40,53,0
